naslov,avtor,ocena,stevilo_ocen,want_to_read,prva_izdaja,stevilo_izdaj
Inferno,Dante Alighieri,4.3333335,18,538,1767,445 
A mind that found itself: an autobiography,Clifford Whittingham Beers,3.0,3,183,1908,130 
Sleeping murder,Agatha Christie,4.25,12,214,1940,103 
Kidnapped: being memoirs of the adventures of David Balfour in the year 1751,Robert Louis Stevenson,3.6,15,165,1886,352 
Les misérables,Victor Hugo,4.25,48,695,1862,523 
Journey to the Centre of the Earth (Puffin Classics),Jules Verne,3.9857142,70,321,1867,204 
Of Human Bondage,William Somerset Maugham,4.2,10,145,1915,407 
The commonwealth of Utopia: containing a learned and pleasant discourse of the best state of a publike weal as it is found in the government of the new ile called Utopia,Thomas More,3.35,20,232,1518,198 
A Midsummer Night's Dream (Folger Shakespeare Library),William Shakespeare,3.746988,83,630,1600,939 
The golden bough : a study in magic and religion. Vol. 12. Bibliography and general index,"James George Frazer,Theodor Herzl Gaster, andGeorge W. Stocking",3.8,5,144,1890,371 
"The story of Doctor Dolittle: being the history of his peculiar life at home and astonishing adventuresin foreign parts, never before printed",Hugh Lofting,3.3333333,6,143,1920,224 
The Man in the Brown Suit,Agatha Christie,3.8461537,13,185,1924,192 
Principles of Anatomy and Physiology,"Gerard J. Tortora,Bryan H. Derrickson,Brendan Burkett,Danielle Dye,Julie Cooke,HOUGHTON MIFFLIN HARCOURT,Gregory Peoples,Tara Diversi,Mark McKean, and7 others",3.625,16,597,1975,218 
The power of your subconscious mind,Joseph Murphy,3.9285715,238,"6,971",1963,130 
Murder After Hours,Agatha Christie,3.8,5,102,1946,102 
Boktjuven,Markus Zusak,4.2460318,126,"2,144",1998,107 
Murder in Three Acts,Agatha Christie,3.7777777,9,237,1934,100 
The Big Four,Agatha Christie,4.4117646,17,182,1927,111 
Fairy tales of the brothers Grimm: a new translation,Gebrüder Grimm [Brothers Grimm],4.5,8,284,1812,207 
Alice's Adventures in Wonderland,Lewis Carroll,4.020513,195,"1,463",1865,3546 
The ingenious gentleman Don Quixote of La Mancha,Miguel de Cervantes Saavedra,3.7916667,48,650,1600,1589 
Northern Lights: His Dark Materials,Philip Pullman,3.9386792,212,698,1995,142 
"Abridgment of Murray's English grammar: with an appendix, containing exercises in orthography, in parsing, in syntax, and in punctuation : designed for the younger classes of learners",Lindley Murray,4.0,2,147,1800,118 
The Prophet,Kahlil Gibran,4.2916665,48,342,1900,362 
Matilda,Roald Dahl,4.3669353,248,"2,316",1988,149 
The Kite Runner,Khaled Hosseini,4.141593,113,"1,995",2003,121 
A New Variorum Edition of Shakespeare: Vol 6: Othello,William Shakespeare,3.775,40,372,1622,701 
A Tale of Two Cities,Charles Dickens,3.7513812,181,"1,063",1800,2059 
Treasure Island,Robert Louis Stevenson,3.7764707,85,773,1880,1984 
"Elements of geometry: containing the first six books of Euclid, with a supplement on the properties of the circle, the intersections of planes and the geometry of solids",Euclid,5.0,9,389,1482,171 
The Grapes of Wrath,John Steinbeck,3.9166667,96,837,1939,261 
The travels of Marco Polo,Marco Polo,3.0,2,209,1818,114 
The Da Vinci Code,Dan Brown,3.8589745,156,"2,416",2003,195 
Der Tsoyberbarg: roman,Thomas Mann,4.230769,13,222,1924,188 
"The most surprising adventures, and wonderful life of Robinson Crusoe, of York, mariner: containing a full and particular account how his ship was lost in a storm, and his companions were drowned, and he only was cast upon the shore by the wreck, and how he lived eight and twenty years in an uninhabited island, on the coast af America, &c., with a true relation how he was at last miraculously preserved by pirates, &c. &c. &c.",Daniel Defoe,3.9333334,15,437,1719,549 
Fifty Shades of Grey,E. L. James,3.9463086,298,"5,281",2000,138 
The Constitution at a glance: outline analysis with explanatory notes,United States,5.0,2,102,1787,146 
The works of William Shakespeare: complete,William Shakespeare,3.4545455,11,247,1730,213 
"An essay concerning human understanding: In four books. Written by John Locke, ...",John Locke,3.8333333,6,171,1689,188 
Bleak House,Charles Dickens,3.9285715,14,174,1850,418 
The Holy Bible: containing the Old and New Testaments,Bible,3.9275362,69,"1,653",1200,3172 
A new variorum edition of Shakespeare,William Shakespeare,3.5714285,21,166,1623,257 
The last of the Mohicans,James Fenimore Cooper,3.6666667,15,182,1826,862 
The Mystery of the Blue Train,Agatha Christie,3.875,16,281,1928,117 
El  cuento de la criada,Margaret Atwood,3.9223301,103,"2,349",1985,147 
Lady Chatterley's Lover,D. H. Lawrence,3.047619,21,224,1900,513 
The varieties of religious experience: a study in human nature : being the Gifford lectures on natural religion delivered at Edinburgh in 1901-1902,"William James,Dr. William James,WILLIAM JAMES,James, William,William James,CrossReach Publications, andJames William",3.2,5,92,1817,266 
Middlemarch: a study of provincial life,George Eliot,4.095238,21,238,1871,199 
The collected poems of Emily Dickinson,Emily Dickinson,4.375,8,339,1890,151 
Lilith,George MacDonald,3.2,5,260,1895,403 
"King Arthur and the knights of the Round table: A modernized version of the ""Morte Darthur.""",Thomas Malory,3.4705882,17,204,1557,377 
"[The booke of common prayer, and administration of the sacrements, and other rites and ceremonies of the Church of England.]",Church of EnglandandJ. A. Maurault,3.75,4,134,1537,545 
Wuthering Heights,Emily Brontë,3.9525862,232,"2,091",1846,2850 
White Fang,Jack London,3.9285715,56,356,1905,367 
The sorrows of Werter: an affecting story,Johann Wolfgang von Goethe,3.5925925,27,98,1779,211 
Memorias de Adriano,"Marguerite Yourcenar,Lidia Storoni Mazzolani, andGrace Frick",3.4,5,145,1951,151 
The Name of the Rose (including author's postscript),Umberto Eco,4.1509433,106,469,1980,151 
The moonstone.,Wilkie Collins,4.047619,21,275,1868,636 
The tour of the world in eighty days,Jules Verne,3.948052,77,305,1872,425 
Faust,Johann Wolfgang von Goethe,4.0285716,35,270,1800,632 
"Little Princess, A","Frances Hodgson Burnett,Oxford University Press Staff,Jennifer Bassett,Justine Eyre, andNancy Bond",4.6,15,270,1905,304 
The Secret Agent: A Simple Tale,Joseph Conrad,3.5333333,15,257,1907,255 
"Fathers and sons: The author on the novel, contemporary reactions, essays in criticism",Ivan Sergeevich Turgenev,4.0,22,85,1867,208 
Orthodoxy: With Annotations and Guided Reading by Trevin Wax,"Gilbert Keith Chesterton,Damian Andre,Catholic Way Publishing Staff, andLucio Marcetti",4.0,9,111,1874,551 
James and the Giant Peach,Roald Dahl,3.9453125,128,"1,093",1961,150 
Poirot investigates.,Agatha Christie,4.2,15,234,1924,205 
The Canterbury tales,"Geoffrey Chaucer,John E. Cunningham,Peter Ackroyd,Ted Stearn,V. A. Kolve, andGlending Olson",3.2666667,30,341,1478,722 
Candide,"Voltaire,William Fleming,Philip Littell, andJack Davenport",3.9452055,73,318,1746,1079 
Time Machine,H. G. Wells,3.910891,101,"1,117",1895,1151 
The Outsider,Albert Camus,4.0,98,"1,844",1942,457 
The Idiot,Фёдор Михайлович Достоевский,4.111111,36,319,1880,275 
The Ramayana & the Mahabharata,"Vālmīki,Robert P. Goldman,Rosalind Lefeber, andSheldon I. Pollock",4.2352943,17,348,1823,110 
The man in the iron mask,Alexandre Dumas,4.428571,7,82,1600,279 
Death on the Nile,Agatha Christie,4.1363635,22,580,1937,165 
Angels & Demons,Dan Brown,3.6355932,236,"1,111",2000,168 
Harry Potter and the Half-Blood Prince,J. K. RowlingandMary GrandPré,4.3664923,191,"2,574",2005,150 
The Kybalion: A Study of The Hermetic Philosophy of Ancient Egypt and Greece,Three Initiates,4.6666665,3,302,1912,122 
Twits,Roald Dahl,3.9183674,49,515,1967,101 
Dracula,Bram Stoker,4.030675,163,"1,428",1897,730 
Der prints un der beṭler: a mays̀eh far yungṿarg fun yedn elṭer,Mark Twain,3.548387,31,260,1881,755 
Anne of Green Gables,Lucy Maud Montgomery,4.2222223,81,915,1908,1299 
H. C. Andersen's sämmtliche [sic] Märchen,Hans Christian Andersen,3.4285715,7,251,1850,145 
Il Decameron,Giovanni Boccaccio,3.9230769,13,198,1516,700 
Also sprach Zarathustra: ein Buch für alle und keinen,Friedrich Nietzsche,3.625,8,306,1883,547 
The Kama sutra of Vatsyayana,Vatsyāyana,3.7222223,36,"1,592",1883,381 
The Hobbit,J.R.R. Tolkien,4.281046,459,"3,282",1937,460 
Dubliners,James Joyce,3.84,75,309,1914,684 
"The lion, the witch and the wardrobe",C.S. Lewis,4.125,112,"1,292",1950,158 
Notes from underground,Фёдор Михайлович Достоевский,4.2413793,29,329,1960,131 
Rayuela,Julio Cortázar,5.0,2,106,1963,129 
Bridge to Terabithia,Katherine Paterson,4.1296296,54,397,1972,103 
Martin Eden,Jack London,3.804878,41,128,1908,107 
Murder in Mesopotamia,Agatha Christie,4.25,12,140,1936,102 
El tambor de hojalata,Günter Grass,2.9230769,13,114,1959,111 
Il Principe,Niccolò Machiavelli,3.8172042,93,"1,153",1515,1407 
The night before Christmas,Clement Clarke Moore,3.642857,28,218,1857,389 
Cities of the plain.,Marcel Proust,4.0625,16,240,1914,435 
The Scarlet Letter,Nathaniel Hawthorne,3.2330098,103,722,1850,608 
The Little Prince,Antoine de Saint-Exupéry,4.338983,177,"2,524",1943,371 
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,4.2753873,581,"3,678",1999,261 
"On liberty: and, Considerations on representative government",John Stuart Mill,3.9,10,118,1859,465 
A Christmas Carol,Charles Dickens,3.9456522,92,584,1843,2727 
Мастер и Маргарита,Михаил Афанасьевич Булгаков,4.181818,77,442,1966,230 
Daddy-Long-Legs.,Jean Webster,4.8,5,105,1912,299 
La Peste,Albert Camus,3.9,20,709,1942,279 
The Richest Man in Babylon,George S. Clason,4.2093024,86,"2,161",1926,203 
My Antonia,Willa Cather,3.8235295,17,113,1918,208 
Princess and the Goblin,George MacDonald,1.5,2,109,1907,430 
Appointment with death,Agatha Christie,3.7272727,11,134,1938,103 
La casa de los espíritus,Isabel Allende,4.470588,17,383,1982,110 
13 At Dinner,Agatha Christie,4.0,10,186,1933,106 
The Moving Finger,Agatha Christie,3.8888888,9,100,1942,109 
The Secret of Chimneys,Agatha Christie,3.5714285,7,133,1925,112 
A Holiday for Murder,Agatha Christie,4.2777777,18,178,1939,103 
The Count of Monte Cristo,Alexandre Dumas,4.3125,176,966,1830,732 
Animal Farm,George Orwell,4.1313725,510,"2,937",1945,413 
Woman in White,Wilkie Collins,4.0,19,259,1860,425 
La guerra de los mundos,H. G. Wells,3.8181818,143,844,462 editions,
The Return of Sherlock Holmes,Arthur Conan Doyle,4.266667,30,420,1903,545 
A doll's house,Henrik Ibsen,4.0,6,133,1889,255 
The Old Man and the Sea (Vintage Classics),Ernest Hemingway,3.8851674,209,"1,597",1952,223 
Heinemann Mathematics,Scottish Primary Mathematics Group,5.0,4,142,1983,252 
